source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,Xiaomi,11th Gen Intel Core i5 11300H ,Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 10,46990
ds01,iBall,Intel Atom Quad Core Z3735F,Intel HD Graphics,2,DDR3,32,HDD,Windows 10,9999
ds01,Asus,12th Gen Intel Core i3 1220P,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,40990
ds01,Lenovo,6th Gen AMD Ryzen 7 6800H,4GB NVIDIA GeForce RTX 3050,8,DDR4,512,SSD,Windows 11,74990
ds01,Zebronics,12th Gen Intel Core i3 1215U,Intel Integrated,8,DDR4,512,SSD,Windows 11,33990
ds01,Zebronics,12th Gen Intel Core i5 1235U,Intel Integrated,8,DDR4,512,SSD,Windows 11,39990
ds01,Asus,Intel Celeron  N4020,Intel UHD Graphics 600,4,LPDDR4,32,HDD,Chrome OS,10990
ds01,MSI,13th Gen Intel Core i5 13500H,6GB NVIDIA GeForce RTX 3050,32,DDR5,1024,SSD,Windows 11,88990
ds01,HP,12th Gen Intel Core i5 1235U,Intel Integrated UHD,8,DDR4,512,SSD,Windows 11,54990
ds01,Lenovo,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,8,DDR4,512,SSD,Windows 11,49990
ds01,Asus,13th Gen Intel Core i9 13900H,Integrated Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,80739
ds01,Lenovo,12th Gen Intel Core i7 1255U,Intel Integrated Iris Xe,16,DDR4,512,SSD,Windows 11,62990
ds01,HP,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 2050,8,DDR4,512,SSD,Windows 11,62990
ds01,HP,7th Gen Amd Ryzen 5 7535HS,4GB NVIDIA GeForce RTX 2050,16,DDR5,512,SSD,Windows 11,69501
ds01,Lenovo,12th Gen Intel Core i5 12450H,Intel UHD Graphics,16,LPDDR5,512,SSD,Windows 11,59990
ds01,HP,7th Gen Amd Ryzen 5 7535HS,4GB NVIDIA GeForce RTX 2050,8,DDR5,512,SSD,Windows 11,54990
ds01,Lenovo,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 2050,16,DDR5,512,SSD,Windows 11,64990
ds01,MSI,12th Gen Intel Core i3 1215U,Intel Integrated Iris Xe,16,DDR4,512,SSD,Windows 11,37729
ds01,Lenovo,5th Gen AMD Ryzen 5  5600H,4GB NVIDIA GeForce GTX 1650,16,DDR4,512,SSD,Windows 11,50712
ds01,MSI,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,16,DDR4,512,SSD,Windows 11,44990
ds01,Chuwi,10th Gen Intel Core i3 1005G1,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,23990
ds01,HP,5th Gen AMD Ryzen 7   5700U,AMD Radeon Radeon,16,DDR4,512,SSD,Windows 11,49990
